company,marked_segment,address,phone_number,website
Bergman Clinics | Ogen | Emmeloord,Medisch specialistische zorg,"Urkerweg 1, Emmeloord",088-9000500,https://www.bergmanclinics.nl
"Zorgwaard Thuiszorg, WVP OBL Oost - De Gravin",Wijkverpleging,"Aston Martinlaan 4, Oud-Beijerland",078-6763400,https://www.zorg-waard.nl
Buurtzorg Kampen West,Wijkverpleging,"Zambonistraat 3, Kampen",06-53595727,https://www.buurtzorgnederland.com/
Retina Operatiecentrum Amstelveen,Medisch specialistische zorg,"Laan van de Helende Meesters 431, Amstelveen",020-2382800,http://retina-oc.nl/
"Fysiotherapie van Huijkelom, locatie Leyhoeve",Fysiotherapie,"Dokter Bloemenlaan 9-58, Tilburg",013-2070135,https://www.fysiotherapievanhuijkelom.nl/
IJsselstate Tandartsen,Mondzorg,"Piersonstraat 3, Dieren",0313-416560,https://www.ijsselstate.nl/
"TWB, locatie Hoogerheide",Wijkverpleging,"Belder 2, Roosendaal",088-5602000,http://www.twb.nl
ABC Zorg,Wijkverpleging,"Bovenstestraat 73, Echt",0475-772592,http://www.abczorg.info
Acta Zorg,Wijkverpleging,"Calandweg 51, Zierikzee",0111-218044,http://www.actazorg.nl
Amstelring Wijkteam Overbos,Wijkverpleging,"Klaterbos 159, Hoofddorp",06- 41128863,https://amstelringwijkzorg.nl
Fysio Moves Herten,Fysiotherapie,"Julianaplein 15, Herten",06-31768585,https://www.fysiomoves.nl
Kick Your Habits,Organisatie,"Cornelis Krusemanstraat 75 B, Amsterdam",020-7370887,https://kickyourhabits.nl
Parodontologie Haarlem,Mondzorg,"Zijlweg 144, Haarlem",023-5420188,http://www.parohaarlem.nl
"Ellen Kant Voeding en Leefstijl, locatie Vlijmen",Diëtetiek,"De Savornin Lohmanlaan 1, Vlijmen",06-44624781,https://www.voedingsadviesvlijmen.nl
Buurtzorg Hoorn Binnenstad,Wijkverpleging,"Noorderstraat 44, Hoorn",06-30712041,http://www.buurtzorgnederland.com
"Fysio Physics Fysiotherapie, locatie Alkmaar",Fysiotherapie,"Stationsweg 37, Alkmaar",088-3232500,https://www.fysiophysics.nl
Fysio Amsterdam West,Fysiotherapie,"Rijswijkstraat 10, Amsterdam",020-6150606,https://fysioamsterdamwest.nl/
HSK Tilburg,Geestelijke gezondheidszorg,"Ringbaan West 275, Tilburg",088-1155855,https://www.hsk.nl
Medinello Zeist,Revalidatiezorg,"Badmeester Schenkpad 14, Zeist",088-5670100,https://www.medinello.nl
Buurtzorg Wijchen 1,Wijkverpleging,"Vijverlaan 26, Wijchen",06-22188151,http://www.buurtzorgnederland.com
Tandartspraktijk De Biezenkamp,Mondzorg,"De Biezenkamp 112, Leusden",033-4947384,http://www.tandartspraktijkdebiezenkamp.nl
Borstkliniek Franciscus,Medisch specialistische zorg,"Vlietlandplein 2, Schiedam",010-8936010,https://www.franciscus.nl/borstkliniek/
Het Rugcentrum,Organisatie,"Californiedreef 49, Utrecht",030-2440941,http://www.hetrugcentrum.nl
Open MRI Zen,Medisch specialistische zorg,"Nieuwstraat 56 A, Sluis",0117-799110,http://www.openmrizen.com
Dental Clinics Zeist,Mondzorg,"Jan Ligthartplein 1, Zeist",030-6918139,http://www.dentalclinics.nl/tandarts/zeist/
MKA Kliniek Den Haag,Medisch specialistische zorg,"Laan van Waalhaven 440, Den Haag",088-6525510,https://www.mkaklinieken.nl/
CIR Revalidatie Zeist,Revalidatiezorg,"Arnhemse Bovenweg 140, Zeist",088-9900200,https://www.cir.nl/
Fysiotherapie De Singel,Fysiotherapie,"Singel 295, Dordrecht",078-6135993,http://www.fysiotherapie-desingel.nl
"PEP-Wiersma Psychologische Expertise, Psychotherapie & Dyslexiezorg",Geestelijke gezondheidszorg,"Brinkenhalte 20, Emmen",0591-632823,http://www.pepwiersma.nl
Buurtzorg Stiens,Wijkverpleging,"Langebourren 30, Stiens",06-51779732,http://www.buurtzorgnederland.com
Medinello Haarlem,Revalidatiezorg,"Claus Sluterweg 313 A, Haarlem",088-5670115,https://www.medinello.nl
Tandartspraktijk Vreugdenhil,Mondzorg,"Singel 78, Dordrecht",078-6132053,https://www.eigentanden.nl
Buurtzorg Grevenbicht e.o.,Wijkverpleging,"Schoolstraat 2, Grevenbicht",06-30819841,http://grevenbicht.buurtzorg.net
Home Instead Thuisservice Haaglanden Zuid & Oost,Wijkverpleging,"Delftweg 73 D, Rijswijk",085-8768794,https://www.homeinstead.nl/hzo
"Staas & Bergmans, locatie Graafseweg",Mondzorg,"Graafseweg 90, 's-Hertogenbosch",073-6133433,https://www.zorgvooruwmond.nl
Carnegie Clinics,Medisch specialistische zorg,"Bankaplein 5, Den Haag",070-2228010,https://carnegieclinics.nl/
"Norschoten, locatie Klaverweide",Verpleeghuiszorg,"Klaverweide 1, Barneveld",0342-404000,https://norschoten.nl/
Xpert Clinics Hand- en Polszorg Den Haag,Medisch specialistische zorg,"Parkstraat 83, Den Haag",088-7785203,https://handpols.xpertclinics.nl
"Parnassia, locatie IBT Haaglanden, team 1",Geestelijke gezondheidszorg,"Kakistraat 7, Den Haag",088-3575580,http://www.parnassia.nl
"Trubendorffer, locatie Tilburg",Verslavingszorg,"Spoorlaan 424, Tilburg",013-7440159,https://www.trubendorffer.nl
Buurtzorg Diepenheim,Wijkverpleging,"Grotestraat 82, Diepenheim",06-12942343,http://www.buurtzorgnederland.com
Vreugdenhil Tandartsen,Mondzorg,"Ds. R. Lomanlaan 9, Geldermalsen",0345-572393,http://www.tandartsvreugdenhil.nl
Buurtzorg Arnhem Alteveer - Cranevelt,Wijkverpleging,"Oremusplein 5, Arnhem",06-22744969,http://www.buurtzorgnederland.com
"FysioMedica, centrum voor actieve revalidatie",Fysiotherapie,"Jubileumplein 6, Geleen",046-4236696,http://www.fysiomedica.nl
Xpert Clinics Hand- en Polszorg Den Bosch,Medisch specialistische zorg,"Pettelaarseweg 186, 's-Hertogenbosch",088-7785203,https://handpols.xpertclinics.nl
CACN Verslavingszorg,Verslavingszorg,"Tramstraat 1, Eindhoven",040-3032626,https://www.cacnverslavingszorg.nl/
"FysioFits, locatie Raalte Melisse",Fysiotherapie,"Melisse 3 A, Raalte",0572-363023,http://www.fysiofits.nl
Jah-Jireh Woonzorg locatie Rotterdam,Verpleeghuiszorg,"Kelloggplaats 556, Rotterdam",010-8408734,https://www.jah-jireh.nl/
"ZorgSaam Ziekenhuis, locatie Antonius",Medisch specialistische zorg,"Pastoor van Genklaan 6, Oostburg",0117-459000,http://www.zorgsaam.org
Buurtzorg Helmond West,Wijkverpleging,"Julianalaan 2, Helmond",06-10895393,http://www.buurtzorgnederland.com
"Da Vinci Kliniek, locatie Arnhem",Medisch specialistische zorg,"Wagnerlaan 55, Arnhem",026-3559150,https://davincikliniek.nl
"Interzorg Thuiszorg, locatie Nijmegen",Wijkverpleging,"Meijhorst 7039, Nijmegen",024-3666090,http://www.interzorgthuiszorg.nl
Logopedie Noord Enschede,Organisatie,"Rijnstraat 15, Enschede",06-14675894,https://www.logopedie-noord.nl/
Pract'S Klaterbos Oefentherapie,Oefentherapie,"Klaterbos 159, Hoofddorp",023-5634183,https://practs.nl
"Trubendorffer, locatie Den Haag",Verslavingszorg,"Bezuidenhoutseweg 115, Den Haag",070-2096096,https://www.trubendorffer.nl
Buurtzorg Almere Haven,Wijkverpleging,"Paal 7, Almere",06-53426445,http://www.buurtzorgnederland.com
Dental Clinics Den Haag Wateringse Veld,Mondzorg,"Laan van Wateringse Veld 120, Den Haag",070-3599774,http://www.dentalclinics.nl/tandarts/den-haag-wateringseveld/
"Fysio Physics Fysiotherapie, locatie Assen",Fysiotherapie,"Zaagmolen 29, Assen",088-3232500,https://www.fysiophysics.nl
"Logopedie Noord Enschede, locatie Zaanstraat",Logopedie,"Zaanstraat 12, Enschede",06-14675894,https://www.logopedie-noord.nl/
"TSN Zorg, Groningen Lewenborg 1",Wijkverpleging,"Kajuit 438 D, Groningen",088-1103041,https://tsnzorg.nl
Cosmetique Totale Tilburg,Huidtherapie,"Kruisvaardersstraat 32 A, Tilburg",085-9022080,https://www.cosmetique-totale.com/nl-nl
Fysiotherapie Rijnmond,Organisatie,"Blankenburg 2, Rozenburg",0181-745040,https://www.fysiotherapierijnmond.nl/
"Omring Thuiszorg, regio Enkhuizen",Wijkverpleging,"Molenweg 9 D, Enkhuizen",088-2068910,https://www.omring.nl/zorg-thuis/thuiszorgteam-zorg-behandeling-thuis
"Omring Thuiszorg, regio Wervershoof",Wijkverpleging,"Olympiaweg 141 N, Wervershoof",088-2068910,https://www.omring.nl/zorg-thuis/thuiszorgteam-zorg-behandeling-thuis
"Stichting Samen Zorgen - Wijkverpleging Herveld, Heteren, Zetten",Wijkverpleging,"Stationsstraat 1, Zetten",026-4722214,http://www.stgsamenzorgen.nl
PsyValens b.v.,Organisatie,"Merelstraat 100, Groningen",050-3055433,https://www.psyvalens.nl
"Sint Jozefoord, wijkverpleging en thuiszorg",Wijkverpleging,"Duyn en Daelseweg 15, Nuland",073-5342342,https://www.jozefoord.nl
"Perspectief Psychologenpraktijk, locatie Culemborg Constantijnlaan",Geestelijke gezondheidszorg,"Constantijnlaan 2 D, Culemborg",088-6460300,https://www.psychologenpraktijkperspectief.nl
"TSN Zorg, Winsum Buiten",Wijkverpleging,"Meeden 3 E, Winsum",088-1103020,https://tsnzorg.nl
Buurtzorg Nannewiid,Wijkverpleging,"Streek 131, Rotsterhaule",06-10351209,http://www.buurtzorgnederland.com
Careyn Thuiszorg en Wijkverpleging  Schiedam,Wijkverpleging,"Lange Nieuwstraat 225, Schiedam",088-1239988,https://www.careyn.nl
"Kick your Habits, locatie Amsterdam",Verslavingszorg,"Cornelis Krusemanstraat 75 B, Amsterdam",020-7370887,https://kickyourhabits.nl/
OREC - Hilversum Noord,Fysiotherapie,"Jacob Peetstraat 35, Hilversum",035-3585460,https://orec.nl/
Praktijk voor Psychologie en Seksuologie Tilburg,Geestelijke gezondheidszorg,"Korvelplein 213, Tilburg",013-5350529,http://www.psychologenpraktijk-tilburg.nl/
Zorgcentrum St. Barbara,Verpleeghuiszorg,"Rooijsestraat 44, Dreumel",0487-571439,http://www.zorgcentrumstbarbara.nl
Emma Tandartsen,Mondzorg,"Maastrichterstraat 166, Brunssum",045-5231932,http://www.emmatandartsen.nl
OREC Weesp,Fysiotherapie,"Lijsbet Eelantsplein 1, Weesp",035-5385460,https://orec.nl
Buurtzorg Ede Zuid,Wijkverpleging,"Laan der Verenigde Naties 94, Ede",06-53406398,http://www.buurtzorgnederland.com
"Omring Thuiszorg, regio Opmeer/Abbekerk",Wijkverpleging,"Pastoor Meriusstraat 4, Spanbroek",088-2068910,https://www.omring.nl/zorg-thuis/thuiszorgteam-zorg-behandeling-thuis
Tandheelkundig Centrum Voorburg,Mondzorg,"Westeinde 43, Voorburg",070-3999037,https://tcvoorburg.nl/
Cura Clinic,Organisatie,"Brouwersweg 100, Maastricht",https://cura.clinic/,https://cura.clinic/
HSK Dordrecht,Geestelijke gezondheidszorg,"Spuiboulevard 238, Dordrecht",088-1155835,https://www.hsk.nl
Psychologenpraktijk Verder,Geestelijke gezondheidszorg,"Zijpendaalseweg 91, Arnhem",www.psychologenpraktijkverder.nl,http://www.psychologenpraktijkverder.nl
Tandartspraktijk Mondmedicentrum Beneden-Leeuwen,Mondzorg,"Van Heemstraweg 48 A, Beneden-Leeuwen",0487-592303,
Van den Bosch en Kroes psychologen,Geestelijke gezondheidszorg,"Dekanijstraat 2, Oirschot",0499-577921,http://www.vandenbosch-kroes.nl
Mondzorg Amsterdam,Mondzorg,"Postjesweg 134, Amsterdam",020-6143072,https://www.mondzorgamsterdam.nl/
Orfeokliniek,Medisch specialistische zorg,"Orfeoschouw 38, Zoetermeer",079-3438530,http://www.orfeokliniek.nl
Psychologenpraktijk Emmakade,Geestelijke gezondheidszorg,"Emmakade 59 E, Leeuwarden",058-2155562,https://www.ppemmakade.nl
Argos Zorggroep - ThuisZorg Albrandswaard,Wijkverpleging,"Zwaluwenlaan 1, Rhoon",010-4093000,https://www.argoszorggroep.nl
"Carintreggeland, Wijkverpleging gemeente Twenterand",Wijkverpleging,"Koningsweg 30, Vriezenveen",088-3677000,http://www.carintreggeland.nl
Helen Dowling Instituut,Organisatie,"Professor Bronkhorstlaan 20, Bilthoven",030-2524020,http://www.hdi.nl
HSK Zoetermeer,Geestelijke gezondheidszorg,"Boerhaavelaan 40, Zoetermeer",088-1155835,https://www.hsk.nl
Tandartspraktijk Van Kempen,Mondzorg,"Verlengde Hereweg 117, Groningen",050-2053156,http://www.tandartspraktijkvankempen.nl
Buurtzorg Nijmegen Midden,Wijkverpleging,"Slotemaker de Bruineweg 272, Nijmegen",06-23585331,http://www.buurtzorgnederland.com
Elver,Organisatie,"Nieuw Wehlseweg 14, Nieuw-Wehl",0314-696911,http://www.elver.nl
"Omring Thuiszorg, regio Hoorn Kersenboogerd",Wijkverpleging,"Betje Wolffplein 170, Hoorn",088-2068910,https://www.omring.nl/zorg-thuis/thuiszorgteam-zorg-behandeling-thuis
"Santé Partners Thuiszorg (STMR), Wijkteam Beesd",Wijkverpleging,"Homburg 1, Beesd",0900-8433,https://www.santepartners.nl/
Abortuskliniek Stimezo Zwolle,Medisch specialistische zorg,"Oosterlaan 14, Zwolle",038-4217000,http://www.stimezo-zwolle.nl
Buurtzorg Breda Haagse Beemden,Wijkverpleging,"Raaimoeren 19, Breda",06-20991806,http://www.buurtzorgnederland.com
"Diëtistenpraktijk Samen Sterk, locatie Almere",Diëtetiek,"Lavendelplantsoen 68, Almere",085-7500050,https://samen-sterk.com/
Franciscus Thuis,Wijkverpleging,"Kerkstraat 20, Gilze",0161-458010,http://www.stfranciscus.nl
HSK Hilversum,Geestelijke gezondheidszorg,"Koninginneweg 11, Hilversum",088-1155815,https://www.hsk.nl/psycholoog/hsk-hilversum/
Buurtzorg Zutphen Zuidwijken,Wijkverpleging,"Zwanevlot 325, Zutphen",06-22872348,http://www.buurtzorgnederland.com
Careyn Thuiszorg en Wijkverpleging Vlaardingen,Wijkverpleging,"Oosthavenkade 43, Vlaardingen",088-1239988,https://www.careyn.nl
Fysio 4 Den Bosch,Fysiotherapie,"Van Berckelstraat 32, 's-Hertogenbosch",073-6140505,http://www.fysio4denbosch.nl
Fysiotherapie Spaarndam,Fysiotherapie,"Ringweg 36, Spaarndam",023-5371755,https://www.fysiotherapiespaarndam.nl
Leidse Tandartsen,Mondzorg,"Perzikweg 164, Leiden",071-5135273,http://www.leidse-tandartsen.nl
"Sint Jozefoord, verzorgings- en verpleeghuis",Verpleeghuiszorg,"Duyn en Daelseweg 15, Nuland",073-5342342,http://www.jozefoord.nl
Verbind in Context,Geestelijke gezondheidszorg,"Nieuwe Binnenweg 282 E, Rotterdam",06-41214469,https://www.verbindincontext.nl/
"WVO Zorg, geriatrische revalidatiezorg",Revalidatiezorg,"Vredehoflaan 370, Vlissingen",0118-448448,http://www.wvozorg.nl
Buurtzorg Wapenveld,Wijkverpleging,"Groteweg 5, Wapenveld",06-22328502,http://www.buurtzorgnederland.com
"Elver, locatie Nieuw-Wehl",Zorg voor mensen met een beperking,"Nieuw Wehlseweg 14, Nieuw-Wehl",0314-696911,http://www.elver.nl
Tandartspraktijk Maas en Waal Ewijk,Mondzorg,"Pastoor Hootsmansstraat 1, Ewijk",0487-525599,http://www.tandartspraktijkmaasenwaal.nl
"ZZG zorggroep, Wijkverpleging Goffert",Wijkverpleging,"Nijmeegsebaan 29, Groesbeek",024-3665777,https://www.zzgzorggroep.nl/
Argos Zorggroep - ThuisZorg Hoogvliet,Wijkverpleging,"Klenke 7, Hoogvliet",010-4093000,https://www.argoszorggroep.nl
Buurtzorg Bunnik,Wijkverpleging,"Laan van Broekhuijzen 10, Bunnik",06-83688679,http://www.buurtzorgnederland.com
Buurtzorg Renkum,Wijkverpleging,"Utrechtseweg 62 6, Heelsum",06-12216454,http://www.buurtzorgnederland.com
Cardiologie Centrum Zeeland,Medisch specialistische zorg,"Buitenruststraat 16, Middelburg",0118-689340,http://www.cardiologiecentra.nl
"Carintreggeland, Eltheto",Verpleeghuiszorg,"Karel Doormanstraat 30, Rijssen",088-3677000,http://www.carintreggeland.nl
Pro Care Kraamzorg,Kraamzorg,"Johan Huizingalaan 132, Amsterdam",020-7607280,http://www.procarekraamzorg.nl
Retina Total Eye Care,Medisch specialistische zorg,"Traaij 42, Driebergen-Rijsenburg",0343-516718,http://www.retina.nl
SoberCare,Verslavingszorg,"Richterslaan 60, Nieuwegein",085-3031401,https://www.sobercare.nl/
"Vierstroom Zorg Thuis, Wijkteam Zoetermeer Seghwaert",Wijkverpleging,"Parkdreef 350 C, Zoetermeer",088-0444888,http://www.vierstroom.nl
Buurtzorg Tegelen - Blerick,Wijkverpleging,"Posthuisstraat 7, Tegelen",06-10425187,http://www.buurtzorgnederland.com
"CuraMare thuiszorg Dirksland, Melissant en Herkingen",Wijkverpleging,"Stationsweg 22, Dirksland",0187-607300,http://www.curamare.nl
KleinGeluk Zuidoost - De Matenhof,Wijkverpleging,"Warenargaarde 775, Apeldoorn",0800-0604,https://www.kleingeluk.nl/
Allévo zorg thuis team Reimerswaal,Wijkverpleging,"Dorpsstraat 93, Krabbendijke",088-1102800,http://www.allevo.nl
HSK Apeldoorn,Geestelijke gezondheidszorg,"Het Rietveld 57 F, Apeldoorn",088-1155855,https://www.hsk.nl/
Mentaal Beter - Winschoten,Geestelijke gezondheidszorg,"Vissersdijk 23, Winschoten",088-0104480 (Volwassenen),https://mentaalbeter.nl/praktijken/winschoten/
"Oosterlengte, locatie Akkerheem",Verpleeghuiszorg,"Dorpsplein 16, Bellingwolde",0597-745200,http://www.oosterlengte.nl
Vivent Team wijkverpleging Rosmalen Oost,Wijkverpleging,"Vliertwijksestraat 369, Rosmalen",088-1637000,https://www.vivent.nl/
Buurtzorg Heerenveen Centrum,Wijkverpleging,"Burgemeester Falkenaweg 58 3, Heerenveen",06-13173577,https://heerenveencentrum.buurtzorg.net/
Carinova Thuiszorg gemeente Staphorst,Wijkverpleging,"Hoogeweg 30, Staphorst",0900-8662,http://www.carinova.nl
Claris Zorgvilla Steinenburgh,Verpleeghuiszorg,"Utrechtseweg 370, De Bilt",030-2004950,http://www.claris-zorggroep.nl
"GGZ Scharwächter, locatie Elst",Geestelijke gezondheidszorg,"Dorpsstraat 29 H, Elst",06-34572785,https://ggzscharwachter.nl/
Tandheelkundig Centrum Noord-Beveland,Mondzorg,"Hoofdstraat 77, Kortgene",0113-301992,http://www.tandheelkundigcentrum-nb.nl
Buurtzorg Deventer Oost,Wijkverpleging,"Stationsweg 5 A, Colmschate",06-23763312,http://www.buurtzorgnederland.com
De Neuscorrectiespecialist,Medisch specialistische zorg,"Gerard Noodtstraat 119, Nijmegen",06-51408387,https://neuscorrectiespecialist.nl/
Praktijk Aurelius,Organisatie,"Jagerskade 17 C, Utrecht",030-2270366,https://praktijkaurelius.nl/
"Praktijk Aurelius, locatie Roode Brug",Geestelijke gezondheidszorg,"Jagerskade 17 C, Utrecht",030-2270366,https://praktijkaurelius.nl
"Sevagram, Zorgcentrum St. Anna",Verpleeghuiszorg,"De Doom 9, Heerlen",045-5760720,http://www.sevagram.nl
Topzorg Groenveld,Organisatie,"Prinsenstraat 12, Venlo",077-3513864,https://www.topzorggroenveld.nl/
Buurtzorg Almere Stad Oost,Wijkverpleging,"Lingestraat 2, Almere",06-51236198,http://www.buurtzorgnederland.com
Buurtzorg Apeldoorn Centrum,Wijkverpleging,"Hoofdstraat 51 A, Apeldoorn",06-51422394,https://www.buurtzorgnederland.com/
Buurtzorg Dronten,Wijkverpleging,"De Helling 15, Dronten",06-12373918,http://www.buurtzorgnederland.com
Buurtzorg Duiven,Wijkverpleging,"Fuutstraat 50 E, Duiven",06-30824669,http://www.buurtzorgnederland.com
"GRIP, praktijk voor ergotherapie, locatie Helmond",Ergotherapie,"Wethouder den Oudenstraat 4, Helmond",0492-344370,https://www.ergotherapiegrip.nl/
iPractice Rotterdam,Geestelijke gezondheidszorg,"Westersingel 41, Rotterdam",010-3071370,https://ipractice.nl/
"Zorggroep Sint Maarten, Maartje wijkverpleging Tubbergen",Wijkverpleging,"Eeshoflaan 21, Tubbergen",088-0005219,https://www.maartje.nl/
Baalderborg Groep,Organisatie,"Van Reeuwijkstraat 50, Ommen",0523-287100,https://www.baalderborggroep.nl
Buurtzorg Drachten Oost,Wijkverpleging,"Zuidkade 88 2, Drachten",06-51169684,http://www.buurtzorgnederland.com
Centiv Oss,Geestelijke gezondheidszorg,"Gezondheidslaan 65, Oss",088-4782200,https://www.centiv.nl/contact/locaties/oss
Centrum Mondzorg Venray,Mondzorg,"Patersstraat 16, Venray",0478-514468,http://www.centrum-mondzorg.nl
"Heelkunde Instituut Nederland, locatie Amsterdam",Medisch specialistische zorg,"Keienbergweg 8, Amsterdam",088-9988990,https://www.heelkundeinstituut.nl/
Henneman van Hees Orthodontisten Etten-Leur,Mondzorg,"Van Rooylaan 144, Etten-Leur",076-5019393,http://www.ortho-etten-leur.nl
OmniaZorg,Wijkverpleging,"Rontgenlaan 9, Zoetermeer",085-4019210,http://www.omniazorg.nl
"Santé Partners Thuiszorg (STMR), Wijkteam Tiel Hennepe",Wijkverpleging,"Hertog Karellaan 134, Tiel",0900-8433,https://www.santepartners.nl/
"ZuidOostZorg, locatie Stellinghaven Appelscha",Verpleeghuiszorg,"Beatrixoord 1, Appelscha",0516-438888,http://www.zuidoostzorg.nl
"ZZG zorggroep, Wijkverpleging Hees/Heseveld",Wijkverpleging,"Nijmeegsebaan 29, Groesbeek",024-3665777,https://www.zzgzorggroep.nl/
"DentalZorg, locatie Zaandam",Mondzorg,"Rustenburg 118, Zaandam",075-6555500,https://www.dentalzorg.nl/
"Silverein, Zorg thuis Wijkteam Puntenburg",Wijkverpleging,"Puntenburgerlaan 100, Amersfoort",088-3560056,https://www.silverein.nl/
Vivent Team wijkverpleging Den Dungen,Wijkverpleging,"Vliertwijksestraat 369, Rosmalen",088-1637000,https://www.vivent.nl/
Amstelring Wijkteam Diemen,Wijkverpleging,"D.J. den Hartoglaan 8, Diemen",06-22411736,https://amstelringwijkzorg.nl
Buurtzorg Hengelo Zuid-West,Wijkverpleging,"Geerdinksweg 139 7, Hengelo",06-83174543,http://www.buurtzorgnederland.com
Buurtzorg Ruurlo,Wijkverpleging,"Wildenborchseweg 3 A, Ruurlo",06-57565020,http://www.buurtzorgnederland.com
"Eyelift.nl, locatie Papendrecht",Medisch specialistische zorg,"Nanengat 8, Papendrecht",085-0645745,https://eyelift.nl
"Magentazorg thuiszorg, team Heiloo/Egmond",Wijkverpleging,"Titanialaan 15, Heerhugowaard",https://www.magentazorg.nl/,https://www.magentazorg.nl/
"Omring Thuiszorg, regio Schagen",Wijkverpleging,"Zuiderweg 21, Schagen",088-2068910,https://www.omring.nl/zorg-thuis/thuiszorgteam-zorg-behandeling-thuis
Praktijk Slaapmakend,Geestelijke gezondheidszorg,"Churchill-laan 205 Hs, Amsterdam",020-7895082,http://www.slaapmakend.nl
"Thuiszorg Brentano Amstelveen, Wijkteam Westwijk",Wijkverpleging,"Kamillelaan 1, Amstelveen",06-34967454,http://www.brentano.nl
Trail Centrum voor Parodontologie en Implantologie,Mondzorg,"Nieuw-Eyckholt 296 K, Heerlen",045-5752566,http://www.trailcentre.com
Buurtzorg Gouda Bloemendaal,Wijkverpleging,"Lekkenburg 8, Gouda",06-12775224,https://goudabloemendaal.buurtzorg.net
Buurtzorg Hollandscheveld,Wijkverpleging,"Riegshoogtendijk 41 A 2, Hollandscheveld",06-23927095,http://www.buurtzorgnederland.com
Ruich Mentale Zorg,Geestelijke gezondheidszorg,"Wilhelminapark 23, Venlo",077-7850298,http://www.ruich.nl
"Santé Partners Thuiszorg (Vitras), Wijkteam Rhenen Noord-Achterberg",Wijkverpleging,"Nieuwe Veenendaalseweg 53, Rhenen",088-8543240,https://www.santepartners.nl/
STMG Doesburg/Giesbeek,Wijkverpleging,"De Linie 3 B, Doesburg",https://www.stmg.nl/,https://www.stmg.nl/
"Topzorg Groenveld, Werk en Gezondheid",Overige zorg,"Prinsenstraat 12, Venlo",077-3513864,https://www.topzorggroenveld.nl/
Zorgbeleving De Blauwe Vlinder,Zorg voor mensen met een beperking,"Zoete Brederode 2, Vlissingen",06-28475973,https://www.zorgbelevingdeblauwevlinder.nl/
Buurtzorg Dokkum West,Wijkverpleging,"Betterwird 34, Dokkum",06-12200928,http://www.buurtzorgnederland.com
Buurtzorg Winterswijk Noord,Wijkverpleging,"Vredenseweg 79, Winterswijk",06-10365877,http://www.buurtzorgnederland.com
OptimalCare Pijnklinieken,Medisch specialistische zorg,"Hoofdweg 60, Rotterdam",010-7146111,https://www.optimalcare.nl
"Santé Partners Thuiszorg (STMR), Wijkteam Heteren - Randwijk - Zetten",Wijkverpleging,"Het Dorpsplein 12, Herveld",0900-8433,https://www.santepartners.nl/
"TSN Zorg, Specialistisch Verpleegkundig Thuiszorg Team (SVT-team)",Wijkverpleging,"Van Swietenlaan 1, Groningen",https://tsnzorg.nl,https://tsnzorg.nl
Bergman Clinics | Ogen,Organisatie,"Gooimeer 11, Naarden",088-9000500,https://www.bergmanclinics.nl
Kliniek ViaSana,Medisch specialistische zorg,"Hoogveldseweg 1, Mill",0485-476330,http://www.viasana.nl
Bergman Clinics | Bewegen | Rijswijk,Medisch specialistische zorg,"Braillelaan 10, Rijswijk",088-9000500,https://www.bergmanclinics.nl
Antoni van Leeuwenhoek,Organisatie,"Plesmanlaan 121, Amsterdam",020-5129111,https://www.avl.nl
"Antoni van Leeuwenhoek, locatie Plesmanlaan",Medisch specialistische zorg,"Plesmanlaan 121, Amsterdam",020-5129111,https://www.avl.nl
Andros Clinics,Organisatie,"Mr. E.N. van Kleffensstraat 5, Arnhem",026-3891753,https://www.andros.nl/
Bergman Clinics | Maag & Darm,Organisatie,"Gooimeer 11, Naarden",088-9000500,http://www.bergmanclinics.nl
Santé Partners,Organisatie,"Postbus 6063, Tiel",0900-8433,https://www.santepartners.nl/
Bergman Clinics | Vrouw,Organisatie,"Gooimeer 11, Naarden",088-9000500,https://www.bergmanclinics.nl
Bergman Clinics | Maag & Darm | Bilthoven,Medisch specialistische zorg,"Professor Bronkhorstlaan 10, Gebouw 60, Bilthoven",088-9000500,http://www.bergmanclinics.nl
Sint Maartenskliniek,Organisatie,"Postbus 9011, Nijmegen",024-3659911,https://www.maartenskliniek.nl
SJG Weert,Organisatie,"Vogelsbleek 5, Weert",0495-572100,https://sjgweert.nl/
SJG Weert - St. Jans Gasthuis Weert,Medisch specialistische zorg,"Vogelsbleek 5, Weert",0495-572100,https://www.sjgweert.nl
Sint Maartenskliniek Nijmegen,Medisch specialistische zorg,"Hengstdal 3 1k, Ubbergen",024-3659911,https://www.maartenskliniek.nl
"Centrum Oosterwal, locatie Alkmaar",Medisch specialistische zorg,"Comeniusstraat 3, Alkmaar",072-5157744,http://www.centrum-oosterwal.nl
TriviumMeulenbeltZorg (TMZ),Organisatie,"'t Dijkhuis 1, Borne",0900-2453453,https://www.triviummeulenbeltzorg.nl
Bergman Clinics | Ogen | Den Bosch,Medisch specialistische zorg,"Hambakenwetering 10, 's-Hertogenbosch",088-9000500,https://www.bergmanclinics.nl
Bergman Clinics | Vrouw | Hilversum,Medisch specialistische zorg,"Marathon 1, Hilversum",088-9000500,http://www.bergmanclinics.nl
Tandheelkundig Centrum Amersfoort Vathorst,Mondzorg,"Angelinapolder 113 C, Amersfoort",033-4790263,https://tcamersfoortvathorst.nl/
Andros Clinics Amsterdam,Medisch specialistische zorg,"Van Boshuizenstraat 12, Amsterdam",026-3891753,https://www.andros.nl/
